building_id,split
Rat_assembly_Teddy,train
Fox_education_Gloria,train
Fox_education_Virgil,train
Eagle_office_Patrice,train
Eagle_assembly_Ian,train
Hog_health_Kesha,train
Bear_education_Gavin,train
Lamb_education_Stefan,train
Panther_education_Mohammad,train
Lamb_assembly_Rosa,train
Lamb_industrial_Willard,train
Hog_office_Eloise,train
Eagle_education_Shanna,train
Cockatoo_education_June,train
Bear_education_Wm,train
Eagle_health_Margo,train
Panther_lodging_Edmond,train
Cockatoo_education_Jack,train
Bear_public_Lowell,train
Eagle_office_Sonya,train
Peacock_public_Kelvin,train
Wolf_public_Norma,train
Lamb_education_Ellen,train
Gator_public_Nettie,train
Bear_education_Zandra,train
Bear_education_Mara,train
Fox_education_Claire,train
Mouse_health_Justin,train
Bear_education_Merrill,train
Hog_office_Elsy,train
Lamb_public_Angeline,train
Rat_education_Adrian,train
Cockatoo_education_Victoria,train
Panther_office_Jeane,train
Lamb_education_Rodrigo,train
Fox_education_Shawanda,train
Gator_assembly_Kimberly,train
Eagle_education_Eileen,train
Rat_education_Kelsey,train
Hog_office_Mary,train
Cockatoo_education_Amira,train
Bull_assembly_Goldie,train
Fox_education_Lilly,train
Hog_warehouse_Porsha,train
Cockatoo_education_Claudine,train
Hog_office_Emmanuel,train
Lamb_education_Harold,train
Lamb_office_Caitlin,train
Bear_education_Nanette,train
Fox_lodging_Isabell,train
Fox_education_Henrietta,train
Bull_lodging_Lettie,train
Rat_education_Marvin,train
Rat_education_Earnest,validation
Lamb_assembly_Corliss,validation
Bear_public_Arlean,validation
Gator_public_Maude,validation
Rat_education_Kandice,validation
Bull_office_Efren,validation
Panther_education_Jerome,validation
Hog_lodging_Shanti,validation
Hog_other_Noma,validation
Eagle_assembly_Lacy,validation
Cockatoo_education_Marva,validation
Fox_lodging_Warren,test
Panther_office_Lavinia,test
Hog_parking_Cliff,test
Bull_office_Yvonne,test
Lamb_education_Philomena,test
Cockatoo_assembly_Heath,test
Bull_public_Jefferson,test
Peacock_office_Burl,test
Gator_assembly_Enid,test
Panther_retail_Kristina,test
Bobcat_office_Alma,test
